RoomID,Building,Capacity,AvailableTimeSlots
SN-0014,CS,128,All
FB-F009,CS,86,All
SN-0011,CS,66,All
FB-F007,CS,50,All
FB-F141,CS,50,All
SN-0115,CS,25,All
FB-F008,CS,20,All
SN-0252,CS,20,All
SN-0006,CS,15,All
SN-0325,CS,15,All
SN-0155,CS,14,All
FB-F120,CS,12,All
SN-0277,CS,10,All
FB-F331,CS,16,All
ClassRoom1_200,campus,200,
ClassRoom2_200,campus,200,
ClassRoom3_200,campus,200,
ClassRoom4_200,campus,200,
ClassRoom5_200,campus,200,
ClassRoom6_200,campus,200,
ClassRoom1_250,campus,250,
ClassRoom2_250,campus,250,
ClassRoom3_250,campus,250,
ClassRoom4_250,campus,250,
ClassRoom5_250,campus,250,
ClassRoom6_250,campus,250,
ClassRoom1_300,campus,300,
ClassRoom2_300,campus,300,
ClassRoom3_300,campus,300,
ClassRoom4_300,campus,300,
ClassRoom5_300,campus,300,
ClassRoom6_300,campus,300,
