CourseID,Sec,EnrollCapacity,ProfessorName
COMP 110,3,150,Byrnes
COMP 110,2,150,Byrnes
COMP 110,1,150,Kaur
COMP 126,1,120,Joseph-Nicholas
COMP 210,1,160,Ghani
COMP 210,2,160,Ghani
COMP 211,2,200,McMahon
COMP 211,1,200,McMahon
COMP 227,1,30,Joseph-Nicholas
COMP 283,1,153,Snoeyink
COMP 301,1,200,Goodwin
COMP 301,2,200,Goodwin
COMP 311,1,150,Munsell
COMP 311,2,150,Munsell
COMP 380,1,80,Joseph-Nicholas
COMP 421,1,150,Berg
COMP 426,1,200,Gandecha
COMP 431,1,60,Kaur
COMP 433,1,75,Nirjon
COMP 435,1,60,Sturton
COMP 455,2,150,Duggirala
COMP 455,1,150,Duggirala
COMP 475,1,60,Reed
COMP 520,1,75,Pothukuchi
COMP 523,1,60,Stotts
COMP 524,1,60,Dewan
COMP 530,1,75,Porter
COMP 537,1,60,Eskandarian
COMP 541,1,45,Singh
COMP 550,1,150,Sun
COMP 550,2,120,Sun
COMP 560,1,120,Silva
COMP 562,1,60,Bertasius
COMP 572,1,60,Singh
COMP 581,1,60,Alterovitz
COMP 664,1,60,Srivastava
COMP 737,1,30,Anderson
COMP 750,1,30,Anderson
COMP 755,1,30,Oliva
