Instructor,Course,Readiness,Frequency,Total
Alterovitz,COMP 581 Introduction to Robotics,4,4,8
Alterovitz,COMP 560 Artificial Intelligence,3,2,5
Alterovitz,COMP 110 Introduction to Programming and Data Science,1,1,2
Alterovitz,COMP 116 Introduction to Scientific Programming,1,1,2
Alterovitz,COMP 210 Data Structures and Analysis,1,1,2
Anderson,COMP 737 Real-Time Systems,4,4,8
Anderson,COMP 750 Algorithm Analysis,4,4,8
Anderson,COMP 455 Models of Languages and Computation,4,2,6
Anderson,COMP 550 Algorithms and Analysis,2,1,3
Berg,COMP 421 Files and Databases,4,4,8
Bertasius,COMP 577 Introduction to Computer Vision,2,3,5
Bertasius,COMP 562 Introduction to Machine Learning,1,1,2
Byrnes,COMP 110 Introduction to Programming and Data Science,4,4,8
Byrnes,COMP 283 Discrete Structures,4,4,8
Byrnes,COMP 210 Data Structures and Analysis,3,3,6
Byrnes,COMP 301 Foundations of Programming,3,3,6
Byrnes,COMP 550 Algorithms and Analysis,3,3,6
Chakravarthula,COMP 590&790-175   Special Topics: Visual Computing Systems,4,4,8
Chaturvedi,COMP 586 Natural Language Processing,4,4,8
Chaturvedi,COMP 790-158 Special Topics: Special topics in Natural Language Processing,4,4,8
Chaturvedi,COMP 486 Applications of Natural Language Processing,3,2,5
Chaturvedi,COMP 487 Information Retrieval,3,2,5
Chaturvedi,COMP 560 Artificial Intelligence,3,2,5
Chen,COMP 790-150 Special Topics: Efficient Deep Learning,4,4,8
Deng,COMP 790-189 Special Topics: Theoretical Foundations of Machine Learning,4,4,8
Dewan,COMP 524 Programming Language Concepts,4,4,8
Dewan,COMP 89H - 063,4,4,8
Duggirala,COMP 455 Models of Languages and Computation,4,4,8
Duggirala,COMP 545 Programming Intelligent Physical Systems,4,3,7
Duggirala,COMP 550 Algorithms and Analysis,4,3,7
Duggirala,COMP 581 Introduction to Robotics,3,3,6
Duggirala,COMP 210 Data Structures and Analysis,3,2,5
Eskandarian,COMP 537 Cryptography,4,4,8
Eskandarian,COMP 455 Models of Languages and Computation,2,3,5
Eskandarian,COMP 283 Discrete Structures,2,2,4
Eskandarian,COMP 435 Computer Security Concepts,2,2,4
Eskandarian,COMP 550 Algorithms and Analysis,2,2,4
Gandecha,COMP 426 Modern Web Programming,4,4,8
