CourseID,Subject,Start Date,Start Time,End Date,End Time,Description,Location,Weekly Repeats
COMP 110,110 Sec 1,2025-08-19,12:30,2025-08-19,13:45,Instructor: Byrnes,Coker 201 (198 seats),Yes
COMP 110,110 Sec 1,2025-08-21,12:30,2025-08-21,13:45,Instructor: Byrnes,Coker 201 (198 seats),Yes
COMP 110,110 Sec 2,2025-08-19,11:00,2025-08-19,12:15,Instructor: Byrnes,Global Education Center 1015 (246 seats),Yes
COMP 110,110 Sec 2,2025-08-21,11:00,2025-08-21,12:15,Instructor: Byrnes,Global Education Center 1015 (246 seats),Yes
COMP 110,110 Sec 3,2025-08-19,15:30,2025-08-19,16:45,Instructor: Hinks,Murray G202 (209 seats),Yes
COMP 110,110 Sec 3,2025-08-21,15:30,2025-08-21,16:45,Instructor: Hinks,Murray G202 (209 seats),Yes
COMP 126,126 Sec 1,2025-08-18,09:05,2025-08-18,09:55,Instructor: Joseph-Nicholas,SN-0014,Yes
COMP 126,126 Sec 1,2025-08-20,09:05,2025-08-20,09:55,Instructor: Joseph-Nicholas,SN-0014,Yes
COMP 126,126 Sec 1,2025-08-22,09:05,2025-08-22,09:55,Instructor: Joseph-Nicholas,SN-0014,Yes
COMP 210,210 Sec 1,2025-08-19,14:00,2025-08-19,15:15,Instructor: Ghani,Coker 201 (198 seats),Yes
COMP 210,210 Sec 1,2025-08-21,14:00,2025-08-21,15:15,Instructor: Ghani,Coker 201 (198 seats),Yes
COMP 210,210 Sec 2,2025-08-19,15:30,2025-08-19,16:45,Instructor: Ghani,Chapman 211 (224 seats),Yes
COMP 210,210 Sec 2,2025-08-21,15:30,2025-08-21,16:45,Instructor: Ghani,Chapman 211 (224 seats),Yes
COMP 211,211 Sec 1,2025-08-18,15:35,2025-08-18,16:25,Instructor: McMahon,Carroll 111 (210 seats),Yes
COMP 211,211 Sec 1,2025-08-20,15:35,2025-08-20,16:25,Instructor: McMahon,Carroll 111 (210 seats),Yes
COMP 211,211 Sec 1,2025-08-22,15:35,2025-08-22,16:25,Instructor: McMahon,Carroll 111 (210 seats),Yes
COMP 211,211 Sec 2,2025-08-18,16:40,2025-08-18,17:30,Instructor: McMahon,Carroll 111 (210 seats),Yes
COMP 211,211 Sec 2,2025-08-20,16:40,2025-08-20,17:30,Instructor: McMahon,Carroll 111 (210 seats),Yes
COMP 211,211 Sec 2,2025-08-22,16:40,2025-08-22,17:30,Instructor: McMahon,Carroll 111 (210 seats),Yes
COMP 227,227 Sec 1,2025-08-19,14:00,2025-08-19,15:15,Instructor: Joseph-Nicholas,FB-F141,Yes
COMP 227,227 Sec 1,2025-08-21,14:00,2025-08-21,15:15,Instructor: Joseph-Nicholas,FB-F141,Yes
COMP 283,283 Sec 1,2025-08-19,17:00,2025-08-19,18:15,Instructor: Snoeyink,Carroll 111 (210 seats),Yes
COMP 283,283 Sec 1,2025-08-21,17:00,2025-08-21,18:15,Instructor: Snoeyink,Carroll 111 (210 seats),Yes
COMP 301,301 Sec 1,2025-08-18,12:20,2025-08-18,13:35,Instructor: Goodwin,ClassRoom6_200,Yes
COMP 301,301 Sec 1,2025-08-20,12:20,2025-08-20,13:35,Instructor: Goodwin,ClassRoom6_200,Yes
COMP 301,301 Sec 2,2025-08-18,14:30,2025-08-18,15:45,Instructor: Goodwin,ClassRoom2_200,Yes
COMP 301,301 Sec 2,2025-08-20,14:30,2025-08-20,15:45,Instructor: Goodwin,ClassRoom2_200,Yes
COMP 311,311 Sec 1,2025-08-19,11:00,2025-08-19,12:15,Instructor: McMillan,Coker 201 (198 seats),Yes
COMP 311,311 Sec 1,2025-08-21,11:00,2025-08-21,12:15,Instructor: McMillan,Coker 201 (198 seats),Yes
COMP 311,311 Sec 2,2025-08-19,15:30,2025-08-19,16:45,Instructor: Munsell,Coker 201 (198 seats),Yes
COMP 311,311 Sec 2,2025-08-21,15:30,2025-08-21,16:45,Instructor: Munsell,Coker 201 (198 seats),Yes
COMP 380,380 Sec 1,2025-08-19,09:30,2025-08-19,10:45,Instructor: Joseph-Nicholas,Greenlaw Hall-Rm 0101 (100 seats),Yes
COMP 380,380 Sec 1,2025-08-21,09:30,2025-08-21,10:45,Instructor: Joseph-Nicholas,Greenlaw Hall-Rm 0101 (100 seats),Yes
COMP 421,421 Sec 1,2025-08-19,15:30,2025-08-19,16:45,Instructor: Berg,Manning 209 (188 seats),Yes
COMP 421,421 Sec 1,2025-08-21,15:30,2025-08-21,16:45,Instructor: Berg,Manning 209 (188 seats),Yes
COMP 426,426 Sec 1,2025-08-19,11:00,2025-08-19,12:15,Instructor: Gandecha,Murray G202 (209 seats),Yes
