CourseID,Sec
COMP 110,1
COMP 110,2
COMP 110,3
COMP 126,1
COMP 210,1
COMP 210,2
COMP 211,1
COMP 211,2
COMP 227,1
COMP 283,1
COMP 301,1
COMP 301,2
COMP 311,1
COMP 311,2
COMP 380,1
COMP 421,1
COMP 426,1
COMP 431,1
COMP 433,1
COMP 435,1
COMP 455,1
COMP 455,2
COMP 475,1
COMP 520,1
COMP 523,1
COMP 524,1
COMP 530,1
COMP 537,1
COMP 541,1
COMP 560,1
COMP 562,1
COMP 572,1
COMP 590,159
COMP 590,173
COMP 590,177
COMP 590,59
COMP 590,80
COMP 590&790,158
COMP 590&790,175
COMP 590&790,187
COMP 664,1
COMP 737,1
COMP 750,1
COMP 755,1
COMP 790,150
COMP 790,173
COMP 790,183
COMP 790,185
COMP 790,186
COMP 790,188
COMP 790,189
